Date,Volume
1/1/1949,112
1/2/1949,118
1/3/1949,132
1/4/1949,129
1/5/1949,121
1/6/1949,135
1/7/1949,148
1/8/1949,148
1/9/1949,136
1/10/1949,119
1/11/1949,104
1/12/1949,118
1/13/1949,115
1/14/1949,126
1/15/1949,141
1/16/1949,135
1/17/1949,125
1/18/1949,149
1/19/1949,170
1/20/1949,170
1/21/1949,158
1/22/1949,133
1/23/1949,114
1/24/1949,140
1/25/1949,145
1/26/1949,150
1/27/1949,178
1/28/1949,163
1/29/1949,172
1/30/1949,178
1/31/1949,199
2/1/1949,199
2/2/1949,184
2/3/1949,162
2/4/1949,146
2/5/1949,166
2/6/1949,171
2/7/1949,180
2/8/1949,193
2/9/1949,181
2/10/1949,183
2/11/1949,218
2/12/1949,230
2/13/1949,242
2/14/1949,209
2/15/1949,191
2/16/1949,172
2/17/1949,194
2/18/1949,196
2/19/1949,196
2/20/1949,236
2/21/1949,235
2/22/1949,229
2/23/1949,243
2/24/1949,264
2/25/1949,272
2/26/1949,237
2/27/1949,211
2/28/1949,180
3/1/1949,201
3/2/1949,204
3/3/1949,188
3/4/1949,235
3/5/1949,227
3/6/1949,234
3/7/1949,264
3/8/1949,302
3/9/1949,293
3/10/1949,259
3/11/1949,229
3/12/1949,203
3/13/1949,229
3/14/1949,242
3/15/1949,233
3/16/1949,267
3/17/1949,269
3/18/1949,270
3/19/1949,315
3/20/1949,364
3/21/1949,347
3/22/1949,312
3/23/1949,274
3/24/1949,237
3/25/1949,278
3/26/1949,284
3/27/1949,277
3/28/1949,317
3/29/1949,313
3/30/1949,318
3/31/1949,374
4/1/1949,413
4/2/1949,405
4/3/1949,355
4/4/1949,306
4/5/1949,271
4/6/1949,306
4/7/1949,315
4/8/1949,301
4/9/1949,356
4/10/1949,348
4/11/1949,355
4/12/1949,422
4/13/1949,465
4/14/1949,467
4/15/1949,404
4/16/1949,347
4/17/1949,305
4/18/1949,336
4/19/1949,340
4/20/1949,318
4/21/1949,362
4/22/1949,348
4/23/1949,363
4/24/1949,435
4/25/1949,491
4/26/1949,505
4/27/1949,404
4/28/1949,359
4/29/1949,310
4/30/1949,337
5/1/1949,360
5/2/1949,342
5/3/1949,406
5/4/1949,396
5/5/1949,420
5/6/1949,472
5/7/1949,548
5/8/1949,559
5/9/1949,463
5/10/1949,407
5/11/1949,362
5/12/1949,405
5/13/1949,417
5/14/1949,391
5/15/1949,419
5/16/1949,461
5/17/1949,472
5/18/1949,535
5/19/1949,622
5/20/1949,606
5/21/1949,508
5/22/1949,461
5/23/1949,390
5/24/1949,432
